weeks,dlate,dover
w1,1.5,0.5
w2,2.5,0.5
w3,2,1.5
w4,2.5,0.5
w5,2,0.5
w6,2.5,1.5
w7,1,1
w8,2,1
w9,2.5,2.5
w10,2.5,3
w11,2.5,2.5
w12,2,3
w13,2.5,1.5
w14,2.5,1.5
w15,2.5,1.5
w16,2.5,1
w17,2.5,1
w18,1,3
w19,2.5,3
w20,2.5,2.5
w21,2.5,2
w22,2.5,1
w23,2.5,3
w24,2.5,1
w25,2.5,0.5
w26,2,1
w27,2.5,1
w28,2.5,1.5
w29,1.5,0.5
w30,1.5,0
w31,2.5,0.5
w32,2.5,0.5
w33,2.5,1.5
w34,2.5,1
w35,2,0
w36,2,1
w37,2.5,1.5
w38,2,0
w39,2,1
w40,1,1
w41,0.5,1
w42,2,1.5
w43,2,0
w44,1,1
w45,1,3
w46,1.5,1
w47,1.5,1
w48,0.5,0
