No,dlate,dover,dhol,doff,dhalf
4017990,68.93,43.57,63.81,6.58,7.02
4019990,30.7,31.16,10.68,4.82,6.58
4019992,87.67,28.63,9.8,3.08,9.25
4019994,62.66,58.92,31.37,0.44,7.89
4019996,93.55,14.29,3.85,6.11,9.17
4019998,14.8,3.06,1.06,4.83,2.42
4020000,48.87,43.44,52.33,0,8.02
4020008,37.77,45.49,21.57,6.14,0.88
4020010,7.95,43.18,46.15,0.88,5.26
4020012,71.1,15.14,1.96,3.51,0.88
4020014,18.89,55.76,46.15,2.19,2.19
4020016,73.33,40,0,0,6.67
